question,summary_answer,difficulty,intent,filename
define correctness in LLM testing,"Correctness in LLM testing is defined as responses that do not contradict reference answers, and this can be evaluated using specific criteria provided in the article.",intermediate,text,examples/LLM_regression_testing.mdx
create monitoring dashboard for LLM,You can create a monitoring dashboard to visualize test results and trends over time as outlined in the tutorial.,intermediate,code,examples/LLM_regression_testing.mdx
Python libraries for LLM regression testing,The article lists libraries like Evidently and dependencies needed to effectively perform regression testing for LLM outputs using Python.,beginner,code,examples/LLM_regression_testing.mdx
testing LLM output length,"To ensure that LLM outputs do not exceed a certain length, the article shows how to include a length check as part of your test suite.",intermediate,code,examples/LLM_regression_testing.mdx
how to generate reports for LLM tests,"You can generate detailed reports on LLM test results using the Evidently library, which is thoroughly explained in the tutorial.",intermediate,code,examples/LLM_regression_testing.mdx
using tags in LLM test reports,"The article mentions using tags in test reports to track versions or parameters, enhancing the clarity of regression testing results.",advanced,text,examples/LLM_regression_testing.mdx
comparing old and new LLM answers,The article illustrates how to compare old and new answers from an LLM after updates to ensure consistency and correctness in outputs.,beginner,code,examples/LLM_regression_testing.mdx
best practices for LLM regression testing,"The article advises on best practices for regression testing, like maintaining a consistent dataset and defining clear evaluation metrics.",intermediate,text,examples/LLM_regression_testing.mdx
LLM judge template parameters,You can customize LLM judge template parameters as described in the article to fine-tune the evaluation process for outputs.,advanced,text,examples/LLM_regression_testing.mdx
charts to visualize LLM testing results,The article discusses how to create charts and visual aids to better track LLM testing results over different periods using dashboards.,intermediate,code,examples/LLM_regression_testing.mdx
LLM quickstart tutorial,"The article offers a dedicated section for beginners starting with LLM evaluations, providing a quickstart tutorial that focuses on evaluating text output quality.",beginner,code,examples/introduction.mdx
ML tutorial examples,"It lists various ML tutorials that provide end-to-end examples of workflows related to machine learning, including a metrics cookbook for different evaluation scenarios.",beginner,code,examples/introduction.mdx
LLM judge optimization example,"The article includes examples on how to optimize LLM judges using prompt optimization, with specific implementations tailored for different classification tasks.",intermediate,code,examples/introduction.mdx
tracing quickstart,"A quickstart guide is available for tracing, which helps users collect inputs and outputs from their AI applications for evaluation.",beginner,code,examples/introduction.mdx
evaluate LLM with human labels,"A tutorial focuses on how to create and evaluate an LLM judge against human labels, providing practical insights and code snippets.",intermediate,code,examples/introduction.mdx
integrating Evidently with Grafana,"The article explains how to visualize Evidently evaluation metrics with Grafana, facilitating data analysis through integration examples.",intermediate,code,examples/introduction.mdx
different LLM evaluation methods,"It outlines various LLM evaluation methods, detailing a mix of reference-based and reference-free approaches, along with practical code examples.",intermediate,text,examples/introduction.mdx
Evidently Open-source UI tutorial,"There’s a tutorial provided on how to create a workspace and project in the Evidently Open-source UI, guiding users through deployment steps.",beginner,code,examples/introduction.mdx
RAG evaluation metrics guide,"A detailed walkthrough of RAG evaluation metrics is provided, helping users understand how to assess the quality of generative outputs.",intermediate,code,examples/introduction.mdx
advanced LLM evaluation scenarios,"Advanced topics, including adversarial testing for LLMs, are discussed, showing how to conduct scenario-based evaluations for risky topics.",advanced,code,examples/introduction.mdx
sign up for LLM evaluation course,Information on signing up for an applied LLM evaluation course with video tutorials and code examples is included for deeper learning.,beginner,text,examples/introduction.mdx
GitHub actions for Evidently,"It describes how to utilize GitHub actions to run Evidently evaluations as part of a CI/CD workflow, enhancing integration efficiency.",intermediate,code,examples/introduction.mdx
Evidently Cloud v2 features and upgrades,"The article highlights the major improvements in Evidently Cloud v2, such as a redesigned dashboard, enhanced performance, and better LLM evaluation support.",beginner,text,faq/cloud_v2.mdx
Evidently 0.6 API changes,The article highlights the key changes in the Evidently library with the introduction of the new API and the Report object in version 0.6.,beginner,text,faq/migration.mdx
how to implement new Report object in Evidently,You can implement the new Report object by importing it from `evidently.future` and using it to generate evaluations with the new structure.,intermediate,code,faq/migration.mdx
transition from old Evidently API,"The migration guide outlines how to transition from the old API to the new one, highlighting the coexistence of both APIs during the transition period.",beginner,text,faq/migration.mdx
Dataset object in Evidently 0.6,"The guide explains that in the new version, users must explicitly create a `Dataset` object when running reports, enhancing data structure clarity.",intermediate,code,faq/migration.mdx
how to add descriptors in Evidently,"Descriptors can be added to your dataset to perform evaluations, and the process is split into computing and aggregating results.",intermediate,code,faq/migration.mdx
unifying Reports and Tests in Evidently,"The article describes the integration of Reports and Tests, allowing users to view test results alongside their report metrics in a single HTML output.",intermediate,text,faq/migration.mdx
using automated column mapping Evidently,Automated column mapping for type and role is still available and can assist in managing data inputs effectively in the new version.,beginner,text,faq/migration.mdx
Evidently open-source features,"The open-source version of Evidently includes all core evaluation features, such as tracing and reports, but lacks premium features available in the commercial edition.",beginner,text,faq/oss_vs_cloud.mdx
Evidently Cloud benefits,"Evidently Cloud is a fully managed solution that includes automatic updates and security patches, ideal for teams focusing on AI development without infrastructure worries.",beginner,text,faq/oss_vs_cloud.mdx
Evidently OSS vs Cloud comparison,"The article outlines the feature differences between Evidently's open-source and commercial cloud versions, emphasizing core functionality versus premium features.",intermediate,text,faq/oss_vs_cloud.mdx
How to use Evidently library,"The Evidently library can be used in Python to run data evaluations and generate reports, making it suitable for individual data scientists and ML engineers.",beginner,code,faq/oss_vs_cloud.mdx
Deployment options for Evidently,"Users can deploy the Evidently platform using either the open-source version, which requires self-management, or the cloud version, which is fully managed.",intermediate,text,faq/oss_vs_cloud.mdx
Setting up Evidently Enterprise,"Evidently Enterprise offers a self-hosted option for organizations requiring strict data security, along with dedicated support for implementation and maintenance.",advanced,text,faq/oss_vs_cloud.mdx
telemetry data collected by Evidently,"Evidently collects anonymous usage data to understand user interactions, including environment and service usage data, but does not include personal information.",beginner,text,faq/telemetry.mdx
how to disable telemetry in Evidently,"You can disable telemetry by setting the environment variable DO_NOT_TRACK to any value, such as 'export DO_NOT_TRACK=1'.",beginner,code,faq/telemetry.mdx
what does Evidently collect for telemetry,"Evidently collects data like timestamps, OS details, and user actions within the Monitoring UI to improve our tool based on usage patterns.",beginner,text,faq/telemetry.mdx
Evidently telemetry environment data,"The telemetry includes environment data such as OS name and version, Python version, and a unique user ID, which is anonymized.",intermediate,text,faq/telemetry.mdx
anonymity in Evidently telemetry,Evidently ensures that the telemetry data collected does not reveal personal information; data like user ID is anonymized to protect privacy.,intermediate,text,faq/telemetry.mdx
examples of Evidently telemetry logs,"The article provides example logs for various actions like startup, indexing, and adding projects, showcasing how data is structured for analysis.",intermediate,code,faq/telemetry.mdx
Evidently Monitoring UI telemetry settings,Telemetry settings are enabled by default in the Monitoring UI and can be altered via environment variables to track user interactions.,beginner,text,faq/telemetry.mdx
Evidently usage data significance,Collecting usage data helps prioritize new features and improvements based on actual user engagement and environments used. Opting in is encouraged for community benefit.,beginner,text,faq/telemetry.mdx
opt-out of Evidently telemetry,Users can opt-out of telemetry by following specific steps to disable data collection via environment variable settings.,beginner,code,faq/telemetry.mdx
detailed telemetry data in open-source tools,"Open-source tools like Evidently collect telemetry data for improving usability, and the article discusses the importance of this data for future developments.",advanced,text,faq/telemetry.mdx
Evidently AI features,"The article details the comprehensive feature set of Evidently AI, including 100+ built-in evaluations, modular architecture, and integration capabilities.",beginner,text,faq/why_evidently.mdx
open-source Evidently library,"It explains that Evidently is an open-source library with transparency in metrics and a developer-friendly API, available for anyone to use and contribute to.",beginner,text,faq/why_evidently.mdx
AI evaluation tools comparison,"The article compares Evidently with other evaluation tools, emphasizing its ready-to-use evaluations versus the need for custom metrics in alternative solutions.",intermediate,text,faq/why_evidently.mdx
how to implement Evidently in projects,"It provides insights on implementing Evidently in AI projects, outlining its modular setup and easy data handling for evaluations and monitoring.",intermediate,code,faq/why_evidently.mdx
evidently library evaluation metrics examples,"The article details how to use the Evidently open-source Python library, showcasing over 100 evaluation metrics and providing practical examples for users.",beginner,code,introduction.mdx
row level text descriptor example,"The article provides examples of descriptors used for evaluating row-level text, detailing functions like ExactlyMatch, RegExp, and Contains.",beginner,code,metrics/all_descriptors.mdx
LLM evaluations explained,"The article explains LLM evaluations, including how to implement them using various descriptors like LLMEval and ContextRelevance.",beginner,text,metrics/all_descriptors.mdx
using ExactMatch for text comparison,"ExactMatch can be used to check if the contents of two columns are the same, returning a boolean for each input based on the defined columns.",intermediate,code,metrics/all_descriptors.mdx
how to use RegExp in evaluations,"RegExp allows for matching text against a specified regular expression to verify conformity to certain patterns, returning True or False for each input.",intermediate,code,metrics/all_descriptors.mdx
Check for valid JSON format,IsValidJSON checks if a given column contains valid JSON data and returns a boolean for every entry.,beginner,code,metrics/all_descriptors.mdx
determine text sentiment,"Sentiment analysis can be conducted using the Sentiment descriptor, which scores text from negative to positive based on sentiment analysis models.",intermediate,code,metrics/all_descriptors.mdx
how to create custom descriptors,CustomDescriptor allows users to implement their own checks using Python functions that can validate specific datasets as needed.,advanced,code,metrics/all_descriptors.mdx
what is DoesNotContain used for,DoesNotContain checks if specified items are absent from the text and provides a True/False result for each row.,intermediate,code,metrics/all_descriptors.mdx
Parameters for Contains descriptor,Contains requires a list of items to check for their presence within the text and can be configured for case sensitivity.,beginner,code,metrics/all_descriptors.mdx
how to validate SQL queries,"IsValidSQL checks if the column contains valid SQL queries without execution, returning a boolean for each entry.",intermediate,code,metrics/all_descriptors.mdx
using LLM for text evaluation,"LLMEval facilitates scoring of text based on user-defined criteria using a designated provider and model, enabling flexible evaluations.",intermediate,code,metrics/all_descriptors.mdx
text length measurement,"TextLength descriptor measures the length of the text in symbols, returning an absolute number for analysis.",beginner,code,metrics/all_descriptors.mdx
difference between ItemMatch and IncludesWords,"ItemMatch checks if items in a specified list are present based on separate columns, while IncludesWords checks for vocabulary words within the text itself.",intermediate,text,metrics/all_descriptors.mdx
using the NonLetterCharacterPercentage descriptor,This descriptor calculates the percentage of non-letter characters in the text and returns a score on a scale from 0 to 100.,beginner,code,metrics/all_descriptors.mdx
context relevance assessment,"ContextRelevance evaluates if the context is relevant to a provided question using semantic similarity measures, allowing aggregation methods.",advanced,code,metrics/all_descriptors.mdx
parameters for JSONSchemaMatch,"JSONSchemaMatch requires an expected schema to validate JSON objects, with options for exact matching and type validation.",advanced,code,metrics/all_descriptors.mdx
how to detect toxicity in texts,"ToxicityLLMEval utilizes models to detect toxic language in texts, returning labels or scores to evaluate text safety.",advanced,code,metrics/all_descriptors.mdx
how to learn about Core Concepts,The article links to a section on Core Concepts that provides foundational information for understanding evaluations and descriptors.,beginner,text,metrics/all_descriptors.mdx
checking for Out-Of-Vocabulary words,"OOVWordsPercentage computes the percentage of words in the text that are not part of an established vocabulary, returning a score between 0 and 100.",intermediate,code,metrics/all_descriptors.mdx
How to implement CustomColumnsDescriptor,CustomColumnsDescriptor allows users to apply custom checks through a Python function that assesses a specific column in the dataset.,advanced,code,metrics/all_descriptors.mdx
Parameters for CorrectnessLLMEval,CorrectnessLLMEval requires a target output column for comparison to evaluate the accuracy of generated responses from the model.,advanced,code,metrics/all_descriptors.mdx
checking if text ends with a specific suffix,"EndsWith checks if the text concludes with a specified suffix, returning a boolean value for input validation.",beginner,code,metrics/all_descriptors.mdx
Configuration options for WordMatch descriptor,"WordMatch validates if specific vocabulary words are included in the text, allowing for various configurations like case sensitivity and lemmatization.",intermediate,code,metrics/all_descriptors.mdx
how to measure sentence count,"SentenceCount provides a straightforward way to count the number of sentences in the text, returning an absolute numerical value.",beginner,code,metrics/all_descriptors.mdx
detecting PII in responses,"PIILLMEval identifies if texts contain personally identifiable information (PII), returning scores or labels based on findings.",advanced,code,metrics/all_descriptors.mdx
syntax validation with IsValidPython,"IsValidPython checks columns for valid Python code without syntax errors, ensuring code integrity before execution.",advanced,code,metrics/all_descriptors.mdx
dataset-level eval metrics,"The article provides a comprehensive reference for all dataset-level evaluation metrics, detailing their functionality, parameters, and test defaults.",beginner,text,metrics/all_metrics.mdx
how to use TextEvals metric,"TextEvals metric allows users to evaluate text or LLM inputs by specifying descriptors, and it returns a summary of various metrics.",beginner,code,metrics/all_metrics.mdx
difference between MeanValue and MaxValue metrics,"MeanValue computes the average of values in a numerical column, while MaxValue finds the highest value in that column.",intermediate,text,metrics/all_metrics.mdx
example implementation of ValueStats,"ValueStats metric computes various descriptive statistics for a specified column, returning unique counts, missing values, and other relevant info.",intermediate,code,metrics/all_metrics.mdx
parameters for MissingValueCount,"MissingValueCount requires the specification of a column to count missing values, helping assess data completeness.",beginner,text,metrics/all_metrics.mdx
how to calculate accuracy in classification,"Accuracy metric calculates the ratio of correct predictions to total predictions, assessing model performance in classification tasks.",beginner,code,metrics/all_metrics.mdx
test defaults for OutRangeValueCount,OutRangeValueCount defaults are set to fail if any value in the specified range is outside the defined min-max limits.,intermediate,text,metrics/all_metrics.mdx
Column data quality metrics,"The document outlines various metrics for assessing column data quality, such as MissingValueCount and UniqueValueCount.",beginner,text,metrics/all_metrics.mdx
using dataset-level metrics,"Dataset-level metrics like DatasetStats help summarize key statistics about the overall dataset, including row and column counts.",beginner,code,metrics/all_metrics.mdx
conditional tests in metrics,The article explains how to apply conditional tests within metrics using operators like eq (equal) and gt (greater than).,intermediate,text,metrics/all_metrics.mdx
metrics for evaluating regression models,The document provides a list of metrics such as MeanError and RMSE that can be used to evaluate regression model performance.,intermediate,text,metrics/all_metrics.mdx
how to visualize classification metrics,Classification metrics can be visualized using tools like confusion matrices and PR curves to better understand model performance.,advanced,code,metrics/all_metrics.mdx
how to read the metrics table,"The article explains how to interpret the tables listing metrics, including metric names, descriptions, parameters, and test defaults.",beginner,text,metrics/all_metrics.mdx
advanced setup for DataDriftPreset,"DataDriftPreset calculates data drift for specified columns using a chosen drift method, useful for tracking distribution changes.",advanced,code,metrics/all_metrics.mdx
importance of data definition in metrics,Understanding data definition is crucial for correctly mapping column types and applying metrics effectively in evaluation processes.,beginner,text,metrics/all_metrics.mdx
how to implement UniqueValueCount,"To use UniqueValueCount, specify the column of interest, which helps gauge the diversity of values in the dataset.",intermediate,code,metrics/all_metrics.mdx
test defaults for MeanValue,MeanValue has test defaults that determine pass/fail conditions based on comparison results with reference datasets.,intermediate,text,metrics/all_metrics.mdx
what is the purpose of DataSummaryPreset,DataSummaryPreset combines overall dataset statistics and value statistics for a comprehensive overview of data quality.,beginner,text,metrics/all_metrics.mdx
key metrics for multi-class classification,Metrics like PrecisionByLabel and F1ByLabel help evaluate and compare performance across multiple classes in classification tasks.,intermediate,code,metrics/all_metrics.mdx
func usage for ROC AUC,"ROC AUC is crucial for evaluating model performance, determining how well the model separates positive and negative classes.",intermediate,text,metrics/all_metrics.mdx
dataset missing value implications,The article emphasizes the importance of tracking missing values across datasets to ensure data quality and integrity.,beginner,text,metrics/all_metrics.mdx
average cases in Dummy model metrics,Dummy model metrics provide baseline performance expectations which can be used to gauge the effectiveness of more complex models.,intermediate,text,metrics/all_metrics.mdx
NDCG metric definition,Normalized Discounted Cumulative Gain (NDCG) evaluates ranking quality by measuring the usefulness of retrieved items in a ranked list.,advanced,text,metrics/all_metrics.mdx
how to compare model accuracy,"Model accuracy can be compared against dummy model metrics to ensure it outperforms random predictions, proving its effectiveness.",intermediate,code,metrics/all_metrics.mdx
details on ClassificationDummyQuality,"ClassificationDummyQuality summarizes the performance of a baseline dummy model, providing insights on expected accuracy levels.",beginner,text,metrics/all_metrics.mdx
aggregating results with InRangeValueCount,"InRangeValueCount allows for counting how many values fall within a specified range, offering insights into data distribution.",intermediate,code,metrics/all_metrics.mdx
using Count variables for regression,Count variables such as RowCount and ColumnCount help provide basic dataset metrics vital for regression analysis.,beginner,text,metrics/all_metrics.mdx
adjusting probas_threshold in classification,"Adjusting the probas_threshold parameter can alter the sensitivity of classification metrics, affecting model evaluations.",intermediate,text,metrics/all_metrics.mdx
understanding test defaults in metrics,"Test defaults in metrics dictate conditions under which metrics pass or fail, guiding evaluation processes effectively.",beginner,text,metrics/all_metrics.mdx
description of PrecisionTopK metric,"PrecisionTopK calculates the accuracy of the top K items retrieved in a recommendation system, indicating the relevance of results.",intermediate,code,metrics/all_metrics.mdx
implications of ConstantColumnsCount,"ConstantColumnsCount identifies columns with no variability, which can affect model training and predictions.",intermediate,text,metrics/all_metrics.mdx
setting thresholds for F-beta scores,"F-beta scores can be fine-tuned using thresholds to balance precision and recall, adapting the model to specific needs.",advanced,code,metrics/all_metrics.mdx
how to read testing setups for F1Score,Reading and interpreting testing setups for F1Score helps understand how well a model combines precision and recall performance.,intermediate,text,metrics/all_metrics.mdx
relevance of MAPE in regression,"Mean Absolute Percentage Error (MAPE) offers a perspective on averages in regression results, crucial for performance evaluation.",beginner,text,metrics/all_metrics.mdx
how to apply regression metrics in evaluation,"Regression metrics like MAE and RMSE are essential for assessing the quality of predictive models, guiding model tuning and selection.",intermediate,code,metrics/all_metrics.mdx
unique values computation with CategoryCount,"CategoryCount helps in counting occurrences of specified categories within a column, enabling better data analysis.",beginner,code,metrics/all_metrics.mdx
understanding MeanValue vs StdValue,"Comparing MeanValue and StdValue provides insights into both the average and variability of data, crucial for understanding distributions.",intermediate,text,metrics/all_metrics.mdx
using preset evaluation templates,"The article outlines different preset evaluation templates that can be used without setup, including options for text evaluations and data drift detection.",beginner,code,metrics/all_presets.mdx
custom data drift detection methods,"The article explains how to customize data drift detection methods based on column types and volume, allowing for tailored analysis.",beginner,text,metrics/customize_data_drift.mdx
set thresholds for data drift,You can set specific thresholds for each data drift detection method to refine your analysis criteria as described in the article.,beginner,code,metrics/customize_data_drift.mdx
default data drift algorithm,The article outlines the default data drift algorithm which automatically selects methods based on data type and volume.,beginner,text,metrics/customize_data_drift.mdx
override data drift parameters,You can override default drift parameters by passing custom settings to Metrics or Presets for more control over drift detection.,intermediate,code,metrics/customize_data_drift.mdx
how to implement a custom drift method,It provides a guide on implementing a custom drift detection method using a specific function and registering it globally.,advanced,code,metrics/customize_data_drift.mdx
dataset drift share setting,"The article describes how to set the share of drifting columns to detect dataset drift, with examples for customization.",intermediate,code,metrics/customize_data_drift.mdx
data drift detection examples,Includes practical examples of setting drift detection methods and thresholds for both dataset and column levels.,beginner,code,metrics/customize_data_drift.mdx
drift detection for categorical columns,"You can specify drift detection methods for categorical columns, as explained in the article with example code snippets.",intermediate,code,metrics/customize_data_drift.mdx
differences in drift detection methods,The article outlines how different threshold settings affect drift detection outcomes depending on the method used.,advanced,text,metrics/customize_data_drift.mdx
population stability index for drift,It includes the use of the Population Stability Index (PSI) method for detecting drift across dataset columns.,intermediate,code,metrics/customize_data_drift.mdx
drift score definitions,Provides explanations of how different drift scores are calculated based on the detection method applied.,intermediate,text,metrics/customize_data_drift.mdx
multi-column drift detection settings,The article describes how to apply drift detection settings across multiple columns in a dataset effectively.,intermediate,code,metrics/customize_data_drift.mdx
importance of drift thresholds,It highlights the importance of setting appropriate drift thresholds and how they relate to drift detection methods.,beginner,text,metrics/customize_data_drift.mdx
custom functions for data drift,Discusses how to create and implement custom functions for data drift detection alongside provided examples.,advanced,code,metrics/customize_data_drift.mdx
detecting drift in numerical columns,The article explains how to detect drift specifically for numerical columns using various statistical tests.,intermediate,text,metrics/customize_data_drift.mdx
Python code for data drift report,"Offers Python code snippets to create and customize data drift reports for analysis, like setting drift methods and thresholds.",beginner,code,metrics/customize_data_drift.mdx
custom text evaluator example,"The article provides code examples for creating custom text evaluators using `CustomColumnDescriptor` and `CustomDescriptor` in Evidently, allowing users to implement their own evaluation logic.",beginner,code,metrics/customize_descriptor.mdx
how to use CustomColumnDescriptor,"It details how to define a `CustomColumnDescriptor` for evaluating specific columns, including a sample implementation for checking if a column is empty.",intermediate,code,metrics/customize_descriptor.mdx
define custom descriptor in Evidently,"The article explains how to create a `CustomDescriptor` for multi-column evaluations, with examples like checking the exact match between answer columns and transforming data.",advanced,code,metrics/customize_descriptor.mdx
HuggingFace models for text evaluation,"The article details how to score text using HuggingFace models, allowing classification based on various criteria like emotion.",beginner,text,metrics/customize_hf_descriptor.mdx
how to import HuggingFace descriptors,"You can import the HuggingFace models using specific Python code, which is shown in the article under the imports section.",beginner,code,metrics/customize_hf_descriptor.mdx
toy data example with HuggingFace models,The article provides a code snippet for creating toy data to demonstrate using HuggingFace models for evaluations.,beginner,code,metrics/customize_hf_descriptor.mdx
using HuggingFaceToxicity descriptor,The article explains how to use the HuggingFaceToxicity descriptor to classify text by toxicity levels in a provided code example.,intermediate,code,metrics/customize_hf_descriptor.mdx
custom checks with HuggingFace models,"You can create custom evaluations in HuggingFace by defining checks directly as a Python function, as discussed in the article.",intermediate,code,metrics/customize_hf_descriptor.mdx
available HuggingFace models list,The article points to a list of available HuggingFace models that can be used with the descriptor for various evaluations.,beginner,text,metrics/customize_hf_descriptor.mdx
evaluate curiosity in text using HuggingFace,"You can evaluate expressions of curiosity in texts by using the HuggingFace descriptor, as shown in a provided example code snippet.",intermediate,code,metrics/customize_hf_descriptor.mdx
emotion classification model example,The article outlines how to implement an emotion classification model using HuggingFace with specific parameters for labels.,advanced,code,metrics/customize_hf_descriptor.mdx
integrating HuggingFace with other models,"You can use HuggingFace's general interface to integrate other models, which the article describes with examples.",advanced,code,metrics/customize_hf_descriptor.mdx
using HuggingFace for zero-shot classification,The article describes how to employ HuggingFace for zero-shot classification enabling the classification of text without pre-trained topics.,advanced,code,metrics/customize_hf_descriptor.mdx
LLM judges setup tutorial,"The article explains how to configure LLM judges using prompt-based evaluators in Python, detailing necessary libraries and setup.",beginner,text,metrics/customize_llm_judge.mdx
built-in LLM evaluators,It covers the available built-in evaluators and how to use them in the evaluation process with examples for toxicity and context quality.,beginner,text,metrics/customize_llm_judge.mdx
how to use ToxicityLLMEval,Instructions are provided on applying the ToxicityLLMEval descriptor to evaluate responses for toxicity in text columns.,beginner,code,metrics/customize_llm_judge.mdx
creating custom LLM evaluators,"The article shows how to create custom LLM evaluators using provided templates, allowing specific grading logic and categories.",intermediate,code,metrics/customize_llm_judge.mdx
examples of LLM evaluation templates,You can find examples of LLM evaluation templates for binary and multi-class classifications that can be adapted to specific needs.,intermediate,code,metrics/customize_llm_judge.mdx
multi-column LLM evaluation setup,"The guide discusses how to set up multi-column evaluations using LLM judges, including sample code to implement this.",intermediate,code,metrics/customize_llm_judge.mdx
OpenAI API key configuration,It provides steps for configuring the OpenAI API key as an environment variable to access built-in evaluators.,beginner,code,metrics/customize_llm_judge.mdx
custom parameters for LLM judges,"The article explains how to customize parameters when deploying LLM judges, refining their responses according to specific criteria.",intermediate,code,metrics/customize_llm_judge.mdx
using alternative LLM providers,"Instructions are given for switching to alternative LLM providers like Anthropic, including necessary API configurations.",advanced,code,metrics/customize_llm_judge.mdx
evaluate response context in LLM,The article describes how to evaluate the context quality of responses using the ContextQualityLLMEval.,beginner,code,metrics/customize_llm_judge.mdx
how to install Evidently library,"A brief setup guide is provided on installing the Evidently library, essential for managing LLM judges and descriptors.",beginner,code,metrics/customize_llm_judge.mdx
common LLM evaluation descriptors,"The article details various LLM evaluation descriptors, helping readers understand their specific usage and implementation.",intermediate,text,metrics/customize_llm_judge.mdx
LLM judge parameter explanation,A comprehensive table of parameters for LLMEval and BinaryClassificationPromptTemplate explaining their purpose and options is provided.,intermediate,text,metrics/customize_llm_judge.mdx
evaluate multiple classes in LLM,This section elaborates on implementing multi-class evaluations using defined grading rubrics within LLM judges.,advanced,code,metrics/customize_llm_judge.mdx
installing pandas for data handling,"The article touches on installing pandas, which is necessary for data manipulation when using the LLM judges.",beginner,code,metrics/customize_llm_judge.mdx
configuring a multi-class classification prompt,Instructions are provided on configuring multi-class classification prompts and applying them to evaluations within LLM judges.,intermediate,code,metrics/customize_llm_judge.mdx
best practices for API key safety,The article emphasizes best practices for safely managing your OpenAI API key when using LLM judges in production.,intermediate,text,metrics/customize_llm_judge.mdx
LLM evaluations in Python examples,"The article includes practical examples of LLM evaluations in Python, making it accessible for developers to implement.",beginner,code,metrics/customize_llm_judge.mdx
results interpretation from LLM judges,Guidance is given on how to interpret the results returned by LLM judges regarding text evaluations and descriptors.,intermediate,text,metrics/customize_llm_judge.mdx
overview of Evidently pipeline,An overview of how the Evidently pipeline integrates LLM evaluations into data analytics is provided in the article.,intermediate,text,metrics/customize_llm_judge.mdx
customizing LLM evaluation logic,The article teaches how to customize evaluation logic using templates to achieve specific grading results within your LLM setup.,advanced,code,metrics/customize_llm_judge.mdx
LLM evaluators troubleshooting tips,It includes troubleshooting tips for common pitfalls when setting up LLM judges and applying evaluations.,advanced,text,metrics/customize_llm_judge.mdx
understanding evaluation output formats,"The article covers different output formats available from LLM evaluations, helping clarify what to expect from results.",intermediate,text,metrics/customize_llm_judge.mdx
adapting templates for specific criteria,Instructions for adapting existing LLM evaluation templates for specific criteria relevant to your application are provided.,advanced,code,metrics/customize_llm_judge.mdx
creating custom metrics in evidently,"This article provides a detailed guide on building custom metrics and tests for dataset evaluations in Evidently, focusing on implementing the metric calculation method and optional visualizations.",beginner,code,metrics/customize_metric.mdx
evidently custom metric example,"An example of implementing a custom metric, `MyMaxMetric`, for calculating the maximum value in a column is included, demonstrating the required methods and code structure.",intermediate,code,metrics/customize_metric.mdx
how to add visualizations to metrics evidently,"The article explains how to create custom visualizations for metrics using Plotly, detailing steps to enhance the visual output of the metrics implemented.",intermediate,text,metrics/customize_metric.mdx
default tests for custom metrics,"It discusses how to define optional default test conditions for custom metrics, specifying checks applied during the evaluation process without custom conditions.",advanced,text,metrics/customize_metric.mdx
classification metrics explained,"The article details standard classification metrics like Accuracy, Precision, Recall, and F1-score for evaluating model performance.",beginner,text,metrics/explainer_classification.mdx
how to calculate precision recall,Calculating precision and recall is outlined along with their significance in assessing model performance in the article.,beginner,code,metrics/explainer_classification.mdx
ROC AUC curve summary,"The article explains the ROC AUC curve, describing how it measures the trade-off between true positive and false positive rates in classification tasks.",intermediate,text,metrics/explainer_classification.mdx
confusion matrix visualization,"It provides visual representations of confusion matrices, helping analyze classification errors by showing the predicted versus actual classifications.",beginner,code,metrics/explainer_classification.mdx
examples of quality metrics by class,The section illustrates how to compute and interpret quality metrics for individual classes in multi-class classification problems.,intermediate,code,metrics/explainer_classification.mdx
importance of precision-recall curve,"The article covers the precision-recall curve, discussing its role in evaluating the balance between precision and recall at different thresholds.",beginner,text,metrics/explainer_classification.mdx
improving model using class separation quality,"Strategies for improving model performance based on class separation quality visualizations are discussed, emphasizing the choice of probability thresholds.",advanced,code,metrics/explainer_classification.mdx
analyzing prediction distributions,"Methods for analyzing the distribution of predicted probabilities to understand model predictions are detailed in the article, helping to optimize performance.",intermediate,text,metrics/explainer_classification.mdx
data quality overview widget,"The article explains the summary widget which provides an overview of the dataset, highlighting missing features and constants, specifically showing shares of almost empty and constant features.",beginner,text,metrics/explainer_data_stats.mdx
visualizing features in datasets,"It describes how the features widget generates visualizations for each feature type, including statistical summaries and feature distributions, tailored for categorical, numerical, and datetime features.",beginner,code,metrics/explainer_data_stats.mdx
summary of missing features in data,The article covers how the summary widget specifically addresses missing or empty features and displays general information about the dataset's quality.,beginner,text,metrics/explainer_data_stats.mdx
feature correlation analysis,There is a section on the correlation widget which illustrates how to assess correlations between different features and highlights significant relationships through summary tables and heatmaps.,intermediate,code,metrics/explainer_data_stats.mdx
categorical feature statistics,"The article provides examples of visualizing categorical features, including tables and graphs that summarize their distributions and interactions with target variables.",intermediate,code,metrics/explainer_data_stats.mdx
how to identify almost constant features,"It explains the method to detect features that are almost constant or almost empty, specifically those with 95% or more missing values.",beginner,text,metrics/explainer_data_stats.mdx
Cramer's V correlation method,"The article discusses the use of Cramer's V for assessing correlations between categorical features, along with other correlation measures for numerical data.",advanced,text,metrics/explainer_data_stats.mdx
data drift detection algorithm,The article discusses Evidently's default algorithm for detecting data drift by comparing distributions of reference and current datasets across various features.,beginner,text,metrics/explainer_drift.mdx
how to detect data drift in datasets,Evidently uses statistical tests to compare datasets and returns results on whether drift is detected based on various column types and statistics.,beginner,code,metrics/explainer_drift.mdx
